#Data tag : 19v2 , Norm tag: None
#run:fill,ls,time,hltpath,delivered(/ub),recorded(/ub),avgpu,source
317080:6737,41:41,05/28/18 20:40:32,HLT_Photon33_v5,17.224305322,4.855311772,44.6,HFOC
317080:6737,42:42,05/28/18 20:40:55,HLT_Photon33_v5,17.214774996,16.836855005,44.6,HFOC
317080:6737,43:43,05/28/18 20:41:18,HLT_Photon33_v5,17.172626588,16.795871246,44.5,HFOC
317080:6737,44:44,05/28/18 20:41:42,HLT_Photon33_v5,17.141943819,16.526397704,44.4,HFOC
317080:6737,45:45,05/28/18 20:42:05,HLT_Photon33_v5,17.150500790,16.778031692,44.4,HFOC
317080:6737,46:46,05/28/18 20:42:28,HLT_Photon33_v5,17.163640361,16.789571848,44.5,HFOC
317080:6737,47:47,05/28/18 20:42:52,HLT_Photon33_v5,17.115091082,16.742810955,44.3,HFOC
317080:6737,48:48,05/28/18 20:43:15,HLT_Photon33_v5,17.094654299,16.723471578,44.3,HFOC
317080:6737,49:49,05/28/18 20:43:38,HLT_Photon33_v5,17.067014465,16.695846680,44.2,HFOC
317080:6737,50:50,05/28/18 20:44:02,HLT_Photon33_v5,17.040685110,16.645892779,44.2,HFOC
317080:6737,51:51,05/28/18 20:44:25,HLT_Photon33_v5,17.019059895,16.648870088,44.1,HFOC
317080:6737,52:52,05/28/18 20:44:48,HLT_Photon33_v5,16.979449794,16.375034592,44.0,HFOC
317080:6737,53:53,05/28/18 20:45:12,HLT_Photon33_v5,16.939975183,16.575440990,43.9,HFOC
317080:6737,54:54,05/28/18 20:45:35,HLT_Photon33_v5,3.703919970,3.665714066,9.6,HFOC
317080:6737,55:55,05/28/18 20:45:58,HLT_Photon33_v5,6.397281464,6.323262510,16.6,HFOC
317080:6737,56:56,05/28/18 20:46:22,HLT_Photon33_v5,13.005190220,12.782608222,33.7,HFOC
317080:6737,57:57,05/28/18 20:46:45,HLT_Photon33_v5,16.252053238,15.915333589,42.1,HFOC
317080:6737,58:58,05/28/18 20:47:08,HLT_Photon33_v5,11.705611054,11.514822084,30.3,HFOC
317080:6737,59:59,05/28/18 20:47:31,HLT_Photon33_v5,4.195365164,4.152443975,10.9,HFOC
317080:6737,60:60,05/28/18 20:47:55,HLT_Photon33_v5,9.767171586,9.620848635,25.3,HFOC
317080:6737,61:61,05/28/18 20:48:18,HLT_Photon33_v5,1.502593147,1.489824400,3.9,HFOC
317080:6737,62:62,05/28/18 20:48:41,HLT_Photon33_v5,4.900405545,4.848980911,12.7,HFOC
317080:6737,63:63,05/28/18 20:49:05,HLT_Photon33_v5,13.410039156,13.175946909,34.7,HFOC
