#Data tag : online , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/pb),recorded(/pb),avgpu,source
254231:4201,1:1,08/13/15 05:14:39,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,2:2,08/13/15 05:15:03,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,3:3,08/13/15 05:15:26,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,4:4,08/13/15 05:15:49,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,5:5,08/13/15 05:16:13,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,6:6,08/13/15 05:16:36,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,7:7,08/13/15 05:16:59,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,8:8,08/13/15 05:17:23,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,9:9,08/13/15 05:17:46,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,10:10,08/13/15 05:18:09,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,11:11,08/13/15 05:18:33,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,12:12,08/13/15 05:18:56,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,13:13,08/13/15 05:19:19,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,14:14,08/13/15 05:19:42,STABLE BEAMS,6500,0.001,0.001,14.2,PLTZERO
254231:4201,15:15,08/13/15 05:20:06,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,16:16,08/13/15 05:20:29,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,17:17,08/13/15 05:20:52,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,18:18,08/13/15 05:21:16,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,19:19,08/13/15 05:21:39,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,20:20,08/13/15 05:22:02,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,21:21,08/13/15 05:22:26,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,22:22,08/13/15 05:22:49,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,23:23,08/13/15 05:23:12,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,24:24,08/13/15 05:23:36,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254232:4201,1:1,08/13/15 05:43:48,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254232:4201,2:2,08/13/15 05:44:11,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254232:4201,3:3,08/13/15 05:44:35,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254232:4201,4:4,08/13/15 05:44:58,STABLE BEAMS,6500,0.001,0.001,14.0,PLTZERO
254232:4201,5:5,08/13/15 05:45:21,STABLE BEAMS,6500,0.001,0.001,14.0,PLTZERO
254232:4201,6:6,08/13/15 05:45:45,STABLE BEAMS,6500,0.001,0.001,14.0,PLTZERO
254232:4201,7:7,08/13/15 05:46:08,STABLE BEAMS,6500,0.001,0.001,14.0,PLTZERO
254232:4201,8:8,08/13/15 05:46:31,STABLE BEAMS,6500,0.001,0.001,14.0,PLTZERO
254232:4201,9:9,08/13/15 05:46:55,STABLE BEAMS,6500,0.001,0.001,14.0,PLTZERO
254232:4201,10:10,08/13/15 05:47:18,STABLE BEAMS,6500,0.001,0.001,14.0,PLTZERO
254232:4201,11:11,08/13/15 05:47:41,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254232:4201,12:12,08/13/15 05:48:05,STABLE BEAMS,6500,0.001,0.001,14.0,PLTZERO
254232:4201,13:13,08/13/15 05:48:28,STABLE BEAMS,6500,0.001,0.001,14.0,PLTZERO
254232:4201,14:14,08/13/15 05:48:51,STABLE BEAMS,6500,0.001,0.001,14.0,PLTZERO
254232:4201,15:15,08/13/15 05:49:14,STABLE BEAMS,6500,0.001,0.001,14.0,PLTZERO
254232:4201,16:16,08/13/15 05:49:38,STABLE BEAMS,6500,0.001,0.001,14.0,PLTZERO
254232:4201,17:17,08/13/15 05:50:01,STABLE BEAMS,6500,0.001,0.001,14.0,PLTZERO
254232:4201,18:18,08/13/15 05:50:24,STABLE BEAMS,6500,0.001,0.001,14.0,PLTZERO
254232:4201,19:19,08/13/15 05:50:48,STABLE BEAMS,6500,0.001,0.001,14.0,PLTZERO
254232:4201,20:20,08/13/15 05:51:11,STABLE BEAMS,6500,0.001,0.001,14.0,PLTZERO
254232:4201,21:21,08/13/15 05:51:34,STABLE BEAMS,6500,0.001,0.001,14.0,PLTZERO
254232:4201,22:22,08/13/15 05:51:58,STABLE BEAMS,6500,0.001,0.001,14.0,PLTZERO
254232:4201,23:23,08/13/15 05:52:21,STABLE BEAMS,6500,0.001,0.001,14.0,PLTZERO
254232:4201,24:24,08/13/15 05:52:44,STABLE BEAMS,6500,0.001,0.001,14.0,PLTZERO
254232:4201,25:25,08/13/15 05:53:08,STABLE BEAMS,6500,0.001,0.001,14.0,PLTZERO
254232:4201,26:26,08/13/15 05:53:31,STABLE BEAMS,6500,0.001,0.001,14.0,PLTZERO
254232:4201,27:27,08/13/15 05:53:54,STABLE BEAMS,6500,0.001,0.001,14.0,PLTZERO
254232:4201,28:28,08/13/15 05:54:17,STABLE BEAMS,6500,0.001,0.001,14.0,PLTZERO
254232:4201,29:29,08/13/15 05:54:41,STABLE BEAMS,6500,0.001,0.001,14.0,PLTZERO
254232:4201,30:30,08/13/15 05:55:04,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,31:31,08/13/15 05:55:27,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,32:32,08/13/15 05:55:51,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,33:33,08/13/15 05:56:14,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,34:34,08/13/15 05:56:37,STABLE BEAMS,6500,0.001,0.001,14.0,PLTZERO
254232:4201,35:35,08/13/15 05:57:01,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,36:36,08/13/15 05:57:24,STABLE BEAMS,6500,0.001,0.001,14.0,PLTZERO
254232:4201,37:37,08/13/15 05:57:47,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,38:38,08/13/15 05:58:11,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,39:39,08/13/15 05:58:34,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,40:40,08/13/15 05:58:57,STABLE BEAMS,6500,0.001,0.001,13.8,PLTZERO
254232:4201,41:41,08/13/15 05:59:21,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,42:42,08/13/15 05:59:44,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,43:43,08/13/15 06:00:07,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,44:44,08/13/15 06:00:30,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,45:45,08/13/15 06:00:54,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,46:46,08/13/15 06:01:17,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,47:47,08/13/15 06:01:40,STABLE BEAMS,6500,0.001,0.001,14.0,PLTZERO
254232:4201,48:48,08/13/15 06:02:04,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,49:49,08/13/15 06:02:27,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,50:50,08/13/15 06:02:50,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,51:51,08/13/15 06:03:14,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,52:52,08/13/15 06:03:37,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,53:53,08/13/15 06:04:00,STABLE BEAMS,6500,0.001,0.001,14.0,PLTZERO
254232:4201,54:54,08/13/15 06:04:24,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,55:55,08/13/15 06:04:47,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,56:56,08/13/15 06:05:10,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,57:57,08/13/15 06:05:34,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,58:58,08/13/15 06:05:57,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,59:59,08/13/15 06:06:20,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,60:60,08/13/15 06:06:43,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,61:61,08/13/15 06:07:07,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,62:62,08/13/15 06:07:30,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,63:63,08/13/15 06:07:53,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,64:64,08/13/15 06:08:17,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,65:65,08/13/15 06:08:40,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,66:66,08/13/15 06:09:03,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,67:67,08/13/15 06:09:27,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,68:68,08/13/15 06:09:50,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,69:69,08/13/15 06:10:13,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,70:70,08/13/15 06:10:37,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,71:71,08/13/15 06:11:00,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,72:72,08/13/15 06:11:23,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,73:73,08/13/15 06:11:46,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,74:74,08/13/15 06:12:10,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,75:75,08/13/15 06:12:33,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,76:76,08/13/15 06:12:56,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,77:77,08/13/15 06:13:20,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,78:78,08/13/15 06:13:43,STABLE BEAMS,6500,0.001,0.001,13.8,PLTZERO
254232:4201,79:79,08/13/15 06:14:06,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,80:80,08/13/15 06:14:30,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254232:4201,81:81,08/13/15 06:14:53,STABLE BEAMS,6500,0.001,0.001,13.9,PLTZERO
254790:4243,90:90,08/21/15 05:24:04,STABLE BEAMS,6500,0.017,0.000,17.0,PLTZERO
254790:4243,93:93,08/21/15 05:25:14,STABLE BEAMS,6500,0.017,0.000,17.0,PLTZERO
254790:4243,94:94,08/21/15 05:25:37,STABLE BEAMS,6500,0.017,0.016,17.0,PLTZERO
254790:4243,95:95,08/21/15 05:26:00,STABLE BEAMS,6500,0.017,0.016,17.0,PLTZERO
254790:4243,96:96,08/21/15 05:26:24,STABLE BEAMS,6500,0.017,0.016,17.0,PLTZERO
254790:4243,97:97,08/21/15 05:26:47,STABLE BEAMS,6500,0.017,0.017,17.0,PLTZERO
254790:4243,98:98,08/21/15 05:27:10,STABLE BEAMS,6500,0.017,0.017,17.0,PLTZERO
254790:4243,99:99,08/21/15 05:27:34,STABLE BEAMS,6500,0.017,0.016,17.0,PLTZERO
254790:4243,100:100,08/21/15 05:27:57,STABLE BEAMS,6500,0.017,0.016,17.0,PLTZERO
254790:4243,101:101,08/21/15 05:28:20,STABLE BEAMS,6500,0.017,0.016,16.9,PLTZERO
254790:4243,102:102,08/21/15 05:28:44,STABLE BEAMS,6500,0.017,0.016,17.0,PLTZERO
254790:4243,103:103,08/21/15 05:29:07,STABLE BEAMS,6500,0.017,0.016,16.9,PLTZERO
254790:4243,104:104,08/21/15 05:29:30,STABLE BEAMS,6500,0.017,0.016,17.0,PLTZERO
254790:4243,105:105,08/21/15 05:29:54,STABLE BEAMS,6500,0.017,0.016,16.9,PLTZERO
254790:4243,106:106,08/21/15 05:30:17,STABLE BEAMS,6500,0.017,0.016,16.9,PLTZERO
254790:4243,107:107,08/21/15 05:30:40,STABLE BEAMS,6500,0.017,0.016,16.9,PLTZERO
254790:4243,108:108,08/21/15 05:31:04,STABLE BEAMS,6500,0.017,0.016,16.9,PLTZERO
254790:4243,109:109,08/21/15 05:31:27,STABLE BEAMS,6500,0.017,0.016,16.9,PLTZERO
254790:4243,110:110,08/21/15 05:31:50,STABLE BEAMS,6500,0.017,0.016,16.9,PLTZERO
254790:4243,111:111,08/21/15 05:32:13,STABLE BEAMS,6500,0.017,0.016,16.9,PLTZERO
254790:4243,112:112,08/21/15 05:32:37,STABLE BEAMS,6500,0.017,0.016,16.9,PLTZERO
254790:4243,113:113,08/21/15 05:33:00,STABLE BEAMS,6500,0.017,0.016,16.9,PLTZERO
254790:4243,114:114,08/21/15 05:33:23,STABLE BEAMS,6500,0.017,0.016,16.9,PLTZERO
254790:4243,115:115,08/21/15 05:33:47,STABLE BEAMS,6500,0.017,0.016,16.9,PLTZERO
254790:4243,116:116,08/21/15 05:34:10,STABLE BEAMS,6500,0.017,0.016,16.9,PLTZERO
254790:4243,117:117,08/21/15 05:34:33,STABLE BEAMS,6500,0.017,0.016,16.9,PLTZERO
254790:4243,118:118,08/21/15 05:34:57,STABLE BEAMS,6500,0.017,0.016,16.9,PLTZERO
254790:4243,119:119,08/21/15 05:35:20,STABLE BEAMS,6500,0.017,0.016,16.9,PLTZERO
254790:4243,120:120,08/21/15 05:35:43,STABLE BEAMS,6500,0.017,0.016,16.9,PLTZERO
254790:4243,121:121,08/21/15 05:36:07,STABLE BEAMS,6500,0.017,0.016,16.9,PLTZERO
254790:4243,122:122,08/21/15 05:36:30,STABLE BEAMS,6500,0.017,0.016,16.9,PLTZERO
254790:4243,123:123,08/21/15 05:36:53,STABLE BEAMS,6500,0.017,0.016,16.9,PLTZERO
254790:4243,124:124,08/21/15 05:37:16,STABLE BEAMS,6500,0.017,0.016,16.9,PLTZERO
254790:4243,125:125,08/21/15 05:37:40,STABLE BEAMS,6500,0.017,0.016,16.9,PLTZERO
254790:4243,126:126,08/21/15 05:38:03,STABLE BEAMS,6500,0.017,0.016,16.9,PLTZERO
254790:4243,127:127,08/21/15 05:38:26,STABLE BEAMS,6500,0.017,0.016,16.9,PLTZERO
254790:4243,128:128,08/21/15 05:38:50,STABLE BEAMS,6500,0.017,0.016,16.9,PLTZERO
254790:4243,129:129,08/21/15 05:39:13,STABLE BEAMS,6500,0.017,0.016,16.8,PLTZERO
254790:4243,130:130,08/21/15 05:39:36,STABLE BEAMS,6500,0.017,0.016,16.9,PLTZERO
254790:4243,131:131,08/21/15 05:40:00,STABLE BEAMS,6500,0.017,0.016,16.9,PLTZERO
254790:4243,132:132,08/21/15 05:40:23,STABLE BEAMS,6500,0.017,0.016,16.9,PLTZERO
254790:4243,133:133,08/21/15 05:40:46,STABLE BEAMS,6500,0.017,0.016,16.8,PLTZERO
254790:4243,134:134,08/21/15 05:41:10,STABLE BEAMS,6500,0.017,0.016,16.8,PLTZERO
254790:4243,135:135,08/21/15 05:41:33,STABLE BEAMS,6500,0.017,0.016,16.8,PLTZERO
254790:4243,136:136,08/21/15 05:41:56,STABLE BEAMS,6500,0.017,0.016,16.8,PLTZERO
254790:4243,137:137,08/21/15 05:42:20,STABLE BEAMS,6500,0.017,0.016,16.8,PLTZERO
254790:4243,138:138,08/21/15 05:42:43,STABLE BEAMS,6500,0.017,0.016,16.8,PLTZERO
254790:4243,139:139,08/21/15 05:43:06,STABLE BEAMS,6500,0.017,0.016,16.8,PLTZERO
254790:4243,140:140,08/21/15 05:43:29,STABLE BEAMS,6500,0.017,0.016,16.8,PLTZERO
254790:4243,141:141,08/21/15 05:43:53,STABLE BEAMS,6500,0.017,0.016,16.8,PLTZERO
254790:4243,142:142,08/21/15 05:44:16,STABLE BEAMS,6500,0.017,0.016,16.8,PLTZERO
254790:4243,143:143,08/21/15 05:44:39,STABLE BEAMS,6500,0.017,0.016,16.8,PLTZERO
254790:4243,144:144,08/21/15 05:45:03,STABLE BEAMS,6500,0.017,0.016,16.8,PLTZERO
254790:4243,145:145,08/21/15 05:45:26,STABLE BEAMS,6500,0.017,0.016,16.8,PLTZERO
254790:4243,146:146,08/21/15 05:45:49,STABLE BEAMS,6500,0.017,0.016,16.8,PLTZERO
254790:4243,147:147,08/21/15 05:46:13,STABLE BEAMS,6500,0.017,0.016,16.7,PLTZERO
254790:4243,148:148,08/21/15 05:46:36,STABLE BEAMS,6500,0.017,0.016,16.8,PLTZERO
254790:4243,149:149,08/21/15 05:46:59,STABLE BEAMS,6500,0.017,0.016,16.7,PLTZERO
254790:4243,150:150,08/21/15 05:47:23,STABLE BEAMS,6500,0.017,0.016,16.7,PLTZERO
254790:4243,151:151,08/21/15 05:47:46,STABLE BEAMS,6500,0.017,0.016,16.7,PLTZERO
254790:4243,152:152,08/21/15 05:48:09,STABLE BEAMS,6500,0.017,0.016,16.8,PLTZERO
254790:4243,153:153,08/21/15 05:48:33,STABLE BEAMS,6500,0.017,0.016,16.7,PLTZERO
254790:4243,154:154,08/21/15 05:48:56,STABLE BEAMS,6500,0.017,0.016,16.7,PLTZERO
254790:4243,155:155,08/21/15 05:49:19,STABLE BEAMS,6500,0.017,0.016,16.7,PLTZERO
254790:4243,156:156,08/21/15 05:49:42,STABLE BEAMS,6500,0.017,0.016,16.7,PLTZERO
254790:4243,157:157,08/21/15 05:50:06,STABLE BEAMS,6500,0.017,0.016,16.7,PLTZERO
254790:4243,158:158,08/21/15 05:50:29,STABLE BEAMS,6500,0.007,0.007,7.5,PLTZERO
254790:4243,159:159,08/21/15 05:50:52,STABLE BEAMS,6500,0.003,0.003,3.4,PLTZERO
254790:4243,160:160,08/21/15 05:51:16,STABLE BEAMS,6500,0.009,0.008,8.6,PLTZERO
254790:4243,161:161,08/21/15 05:51:39,STABLE BEAMS,6500,0.014,0.014,14.6,PLTZERO
254790:4243,162:162,08/21/15 05:52:02,STABLE BEAMS,6500,0.017,0.016,16.7,PLTZERO
254790:4243,163:163,08/21/15 05:52:26,STABLE BEAMS,6500,0.013,0.013,13.1,PLTZERO
254790:4243,164:164,08/21/15 05:52:49,STABLE BEAMS,6500,0.012,0.012,12.3,PLTZERO
254790:4243,165:165,08/21/15 05:53:12,STABLE BEAMS,6500,0.007,0.006,6.6,PLTZERO
254790:4243,166:166,08/21/15 05:53:36,STABLE BEAMS,6500,0.003,0.003,2.7,PLTZERO
254790:4243,167:167,08/21/15 05:53:59,STABLE BEAMS,6500,0.017,0.016,16.7,PLTZERO
254790:4243,168:168,08/21/15 05:54:22,STABLE BEAMS,6500,0.017,0.016,16.7,PLTZERO
254790:4243,169:169,08/21/15 05:54:45,STABLE BEAMS,6500,0.017,0.016,16.7,PLTZERO
254790:4243,170:170,08/21/15 05:55:09,STABLE BEAMS,6500,0.017,0.016,16.7,PLTZERO
254790:4243,171:171,08/21/15 05:55:32,STABLE BEAMS,6500,0.017,0.016,16.7,PLTZERO
254790:4243,172:172,08/21/15 05:55:55,STABLE BEAMS,6500,0.017,0.016,16.7,PLTZERO
254790:4243,173:173,08/21/15 05:56:19,STABLE BEAMS,6500,0.002,0.002,1.7,PLTZERO
254790:4243,174:174,08/21/15 05:56:42,STABLE BEAMS,6500,0.005,0.005,5.5,PLTZERO
254790:4243,175:175,08/21/15 05:57:05,STABLE BEAMS,6500,0.012,0.012,12.5,PLTZERO
254790:4243,176:176,08/21/15 05:57:29,STABLE BEAMS,6500,0.017,0.016,16.7,PLTZERO
254790:4243,177:177,08/21/15 05:57:52,STABLE BEAMS,6500,0.017,0.016,16.7,PLTZERO
254790:4243,178:178,08/21/15 05:58:15,STABLE BEAMS,6500,0.013,0.013,12.9,PLTZERO
254790:4243,179:179,08/21/15 05:58:39,STABLE BEAMS,6500,0.006,0.006,5.7,PLTZERO
254790:4243,180:180,08/21/15 05:59:02,STABLE BEAMS,6500,0.002,0.002,1.7,PLTZERO
254790:4243,181:181,08/21/15 05:59:25,STABLE BEAMS,6500,0.016,0.016,16.7,PLTZERO
254790:4243,182:182,08/21/15 05:59:49,STABLE BEAMS,6500,0.017,0.016,16.7,PLTZERO
254790:4243,183:183,08/21/15 06:00:12,STABLE BEAMS,6500,0.016,0.016,16.7,PLTZERO
254790:4243,184:184,08/21/15 06:00:35,STABLE BEAMS,6500,0.016,0.016,16.7,PLTZERO
254790:4243,185:185,08/21/15 06:00:58,STABLE BEAMS,6500,0.016,0.016,16.7,PLTZERO
254790:4243,186:186,08/21/15 06:01:22,STABLE BEAMS,6500,0.016,0.016,16.7,PLTZERO
254790:4243,187:187,08/21/15 06:01:45,STABLE BEAMS,6500,0.016,0.016,16.7,PLTZERO
254790:4243,188:188,08/21/15 06:02:08,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,189:189,08/21/15 06:02:32,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,190:190,08/21/15 06:02:55,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,191:191,08/21/15 06:03:18,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,192:192,08/21/15 06:03:42,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,193:193,08/21/15 06:04:05,STABLE BEAMS,6500,0.016,0.016,16.7,PLTZERO
254790:4243,194:194,08/21/15 06:04:28,STABLE BEAMS,6500,0.016,0.016,16.7,PLTZERO
254790:4243,195:195,08/21/15 06:04:52,STABLE BEAMS,6500,0.016,0.016,16.7,PLTZERO
254790:4243,196:196,08/21/15 06:05:15,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,197:197,08/21/15 06:05:38,STABLE BEAMS,6500,0.016,0.016,16.7,PLTZERO
254790:4243,198:198,08/21/15 06:06:02,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,199:199,08/21/15 06:06:25,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,200:200,08/21/15 06:06:48,STABLE BEAMS,6500,0.016,0.016,16.7,PLTZERO
254790:4243,201:201,08/21/15 06:07:11,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,202:202,08/21/15 06:07:35,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,203:203,08/21/15 06:07:58,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,204:204,08/21/15 06:08:21,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,205:205,08/21/15 06:08:45,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,206:206,08/21/15 06:09:08,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,207:207,08/21/15 06:09:31,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,208:208,08/21/15 06:09:55,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,209:209,08/21/15 06:10:18,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,210:210,08/21/15 06:10:41,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,211:211,08/21/15 06:11:05,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,212:212,08/21/15 06:11:28,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,213:213,08/21/15 06:11:51,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,214:214,08/21/15 06:12:14,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,215:215,08/21/15 06:12:38,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,216:216,08/21/15 06:13:01,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,217:217,08/21/15 06:13:24,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,218:218,08/21/15 06:13:48,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,219:219,08/21/15 06:14:11,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,220:220,08/21/15 06:14:34,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,221:221,08/21/15 06:14:58,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,222:222,08/21/15 06:15:21,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,223:223,08/21/15 06:15:44,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,224:224,08/21/15 06:16:08,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,225:225,08/21/15 06:16:31,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,226:226,08/21/15 06:16:54,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,227:227,08/21/15 06:17:18,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,228:228,08/21/15 06:17:41,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,229:229,08/21/15 06:18:04,STABLE BEAMS,6500,0.016,0.016,16.5,PLTZERO
254790:4243,230:230,08/21/15 06:18:27,STABLE BEAMS,6500,0.016,0.016,16.6,PLTZERO
254790:4243,231:231,08/21/15 06:18:51,STABLE BEAMS,6500,0.016,0.016,16.5,PLTZERO
254790:4243,232:232,08/21/15 06:19:14,STABLE BEAMS,6500,0.016,0.016,16.5,PLTZERO
254790:4243,233:233,08/21/15 06:19:37,STABLE BEAMS,6500,0.016,0.016,16.5,PLTZERO
254790:4243,234:234,08/21/15 06:20:01,STABLE BEAMS,6500,0.016,0.016,16.5,PLTZERO
254790:4243,235:235,08/21/15 06:20:24,STABLE BEAMS,6500,0.016,0.016,16.5,PLTZERO
254790:4243,236:236,08/21/15 06:20:47,STABLE BEAMS,6500,0.016,0.016,16.5,PLTZERO
254790:4243,237:237,08/21/15 06:21:11,STABLE BEAMS,6500,0.016,0.016,16.5,PLTZERO
254790:4243,238:238,08/21/15 06:21:34,STABLE BEAMS,6500,0.016,0.016,16.5,PLTZERO
254790:4243,239:239,08/21/15 06:21:57,STABLE BEAMS,6500,0.016,0.016,16.5,PLTZERO
254790:4243,240:240,08/21/15 06:22:21,STABLE BEAMS,6500,0.016,0.016,16.5,PLTZERO
254790:4243,241:241,08/21/15 06:22:44,STABLE BEAMS,6500,0.016,0.016,16.5,PLTZERO
254790:4243,242:242,08/21/15 06:23:07,STABLE BEAMS,6500,0.016,0.016,16.5,PLTZERO
254790:4243,243:243,08/21/15 06:23:30,STABLE BEAMS,6500,0.016,0.016,16.5,PLTZERO
254790:4243,244:244,08/21/15 06:23:54,STABLE BEAMS,6500,0.016,0.016,16.5,PLTZERO
